"NU_ANO";"VET_TIPO"
2021;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2019;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2018;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2017;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2015;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2014;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2013;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2012;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2011;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
2010;11,1,7,6,5,2,5,2,11,7,5,1,10,3,1,10,11,5,9,11,4,8,8,1,9,9,10
